Week,Pfizer/BioNTech,Moderna,AstraZeneca/Oxford,Johnson&Johnson,Total
2020-12-21,9750,0,0,0,9750
2020-12-28,0,0,0,0,0
2021-01-04,162825,0,0,0,162825
2021-01-11,97500,28600,0,0,126100
2021-01-18,86580,1400,38700,0,126680
2021-01-25,78390,2900,0,0,81290
2021-02-01,97110,13900,48000,0,159010
2021-02-08,98280,0,57600,0,155880
2021-02-15,117000,0,96000,0,213000
2021-02-22,120510,48000,50100,0,218610
2021-03-01,114660,0,124800,0,239460
2021-03-08,117000,63600,60000,0,240600
2021-03-15,117000,0,26400,0,143400
2021-03-22,176670,96000,28800,0,301470
2021-03-29,179010,0,259200,0,438210
2021-04-05,267930,80400,33600,0,381930
2021-04-12,267930,0,81600,36000,385530
2021-04-19,269100,45600,26400,0,341100
2021-04-26,396630,52800,386400,30000,865830
2021-05-03,361530,76800,0,0,438330
2021-05-10,361530,76800,74400,36000,548730
2021-05-17,363870,76800,64800,40800,546270
2021-05-24,363870,76800,0,84000,524670
2021-05-31,733590,76800,335200,85600,1231190
2021-06-07,656370,0,100800,36000,793170
2021-06-14,656370,76800,0,36000,769170
2021-06-21,810810,166800,124800,24000,1126410
2021-06-28,809640,86400,697500,153600,1747140
2021-07-05,441090,68400,0,28800,538290
2021-07-12,442260,0,122400,0,564660
2021-07-19,442260,68400,0,0,510660
2021-07-26,442260,135600,0,38400,616260
2021-08-02,429390,67200,0,0,496590
2021-08-09,429390,67200,0,0,496590
2021-08-16,429390,0,0,0,429390
2021-08-23,429390,0,0,0,429390
2021-08-30,511290,0,0,0,511290
2021-09-06,511290,0,0,0,511290
2021-09-13,342810,276000,0,0,618810
2021-09-20,342810,276000,0,0,618810
